,Gene,Paralog,Perc_ID
71,MAPK1,MAPK7,21.5686
72,MAPK1,SRPK2,12.4464
73,MAPK1,MAPK9,32.3113
74,MAPK1,CILK1,18.8291
75,GLI4,ZNF45,20.6745
76,GLI4,ZNF268,14.9947
77,GLI4,ZNF775,17.6909
78,GLI4,ZNF140,25.3829
79,GLI4,ZNF544,13.2867
80,GLI4,ZNF841,14.3939
81,GLI4,ZNF7,21.7201
82,GLI4,ZNF571,21.6749
83,GLI4,ZNF28,18.1059
84,GLI4,ZNF732,21.0256
85,GLI4,ZNF595,20.3704
86,GLI4,ZNF718,20.7113
87,GLI4,ZNF493,17.1835
88,GLI4,ZNF117,23.8095
89,GLI4,ZNF141,23.2068
90,GLI4,ZNF607,17.5287
91,GLI4,ZNF484,16.0798
92,GLI4,ZFP3,27.6892
93,GLI4,ZNF790,16.3522
94,GLI4,ZNF540,17.7273
95,GLI4,ZNF286A,24.3762
96,GLI4,ZNF672,23.8938
97,GLI4,ZNF629,15.42
98,GLI4,ZNF605,21.3729
99,GLI4,ZNF836,13.9957
100,GLI4,ZNF483,18.414
101,GLI4,ZNF71,25.3188
102,GLI4,ZNF713,26.8623
103,GLI4,MZF1,17.4387
104,GLI4,ZNF460,24.1993
105,GLI4,ZNF517,25.6098
106,GLI4,ZNF585A,18.3355
107,GLI4,ZNF585B,18.0754
108,GLI4,ZNF157,27.8656
109,GLI4,ZNF16,20.9677
110,GLI4,ZNF621,26.8793
111,GLI4,ZNF221,18.6386
112,GLI4,ZNF224,17.5389
113,GLI4,ZNF225,17.5637
114,GLI4,ZNF284,18.7184
115,GLI4,ZNF354B,21.4052
116,GLI4,ZNF615,15.903
117,GLI4,ZNF471,21.4058
118,GLI4,ZNF677,20.5479
119,GLI4,ZNF502,24.4485
120,GLI4,ZSCAN10,15.7692
121,GLI4,ZNF490,25.5198
122,GLI4,ZNF658,12.559
123,GLI4,ZNF568,21.2733
124,GLI4,ZNF624,16.0694
125,GLI4,ZNF432,19.9387
126,GLI4,ZNF30,21.9904
127,GLI4,ZNF623,25.6048
128,GLI4,ZNF260,26.4563
129,GLI4,ZNF93,17.5806
130,GLI4,ZNF138,18.4953
131,GLI4,ZNF676,20.7483
132,GLI4,ZNF735,29.8544
133,GLI4,ZNF722,30.4688
134,GLI4,ZNF254,19.4234
135,GLI4,ZNF492,21.2806
136,GLI4,ZNF726,21.5909
137,GLI4,ZNF679,30.4136
138,GLI4,ZNF90,19.3012
139,GLI4,ZNF708,22.7353
140,GLI4,ZNF716,17.5758
141,GLI4,ZNF714,23.2432
142,GLI4,ZNF728,18.0064
143,GLI4,ZNF486,23.7581
144,GLI4,ZNF506,23.8739
145,GLI4,ZNF300,24.1722
146,GLI4,ZNF132,17.9887
147,GLI4,ZIM2,11.2903
148,GLI4,ZNF696,19.7861
149,GLI4,ZNF317,20.0
150,GLI4,None,27.5862
151,GLI4,ZNF616,18.0538
152,GLI4,ZFP14,24.5779
153,GLI4,ZNF275,26.3403
154,GLI4,ZNF32,36.63
155,GLI4,ZNF534,19.6672
156,GLI4,ZFP1,30.2211
157,GLI4,ZNF780A,20.1248
158,GLI4,ZNF182,21.129
159,GLI4,ZNF234,20.1429
160,GLI4,ZNF782,18.598
161,GLI4,ZFP28,15.0922
162,GLI4,ZIM3,27.5424
163,GLI4,ZKSCAN5,13.7068
164,GLI4,ZNF415,22.3423
165,GLI4,ZNF573,18.4962
166,GLI4,ZFP2,24.5119
167,GLI4,ZNF189,22.8435
168,GLI4,ZNF519,23.8889
169,GLI4,ZNF195,18.9189
170,GLI4,ZNF429,19.8813
171,GLI4,ZFP30,26.2042
172,GLI4,ZNF699,21.6511
173,GLI4,ZNF630,20.5479
174,GLI4,ZNF829,31.0185
175,GLI4,ZNF383,29.2632
176,GLI4,ZNF43,16.4401
177,GLI4,ZNF655,21.3849
178,GLI4,ZNF543,22.6667
179,GLI4,ZNF227,17.0213
180,GLI4,ZNF345,21.5164
181,GLI4,ZNF354A,21.4876
182,GLI4,ZNF37A,21.0339
183,GLI4,ZNF454,24.7126
184,GLI4,ZNF780B,15.006
185,GLI4,ZNF267,17.4966
186,GLI4,ZNF814,13.9181
187,GLI4,ZNF2,28.0
188,GLI4,ZNF226,16.6874
189,GLI4,ZNF546,13.8756
190,GLI4,ZNF331,26.3499
191,GLI4,ZNF283,15.6112
192,GLI4,ZNF628,11.3314
193,GLI4,ZNF565,25.2505
194,GLI4,ZNF879,25.5773
195,GLI4,ZNF74,19.4099
196,GLI4,ZNF311,19.8198
197,GLI4,ZNF501,35.4244
198,GLI4,ZNF3,24.6637
199,GLI4,ZKSCAN8P1,40.5204
200,GLI4,ZNF135,23.5562
201,GLI4,ZNF391,36.3129
202,GLI4,ZNF510,16.8375
203,GLI4,ZNF470,19.3863
204,GLI4,ZNF606,17.1717
205,GLI4,ZNF239,27.0742
206,GLI4,ZNF23,20.4082
207,GLI4,ZNF320,21.2181
208,GLI4,ZFP82,25.3759
209,GLI4,ZNF235,18.5637
210,GLI4,ZNF146,30.8219
211,GLI4,ZNF251,22.0566
212,GLI4,ZNF322,26.6169
213,GLI4,ZNF514,29.5
214,GLI4,ZNF461,23.6234
215,GLI4,ZNF600,15.4235
216,GLI4,ZNF611,17.5887
217,GLI4,ZNF26,23.0769
218,GLI4,ZNF121,30.2564
219,GLI4,ZNF33A,16.7694
220,GLI4,ZNF33B,17.3522
221,GLI4,ZNF334,18.9706
222,GLI4,ZNF250,23.964
223,GLI4,ZNF197,13.5083
224,GLI4,ZNF577,20.0
225,GLI4,ZNF436,29.1489
226,GLI4,ZNF835,24.0223
227,GLI4,ZNF112,14.333
228,GLI4,ZNF229,16.4848
229,GLI4,ZNF81,19.6672
230,GLI4,ZNF789,23.5294
231,GLI4,ZNF724,20.0323
232,GLI4,ZNF695,23.8835
233,GLI4,ZNF681,19.3798
234,GLI4,ZNF682,23.2932
235,GLI4,ZNF727,20.6413
236,GLI4,ZNF678,24.9524
237,GLI4,ZNF736,21.5457
238,GLI4,ZNF738,14.1333
239,GLI4,ZNF85,20.3361
240,GLI4,ZNF175,18.4248
241,GLI4,ZNF354C,22.3827
242,GLI4,ZNF41,16.303
243,GLI4,ZNF717,13.5667
244,GLI4,ZNF528,19.9045
245,GLI4,ZNF880,14.5581
246,GLI4,ZNF83,21.8992
247,GLI4,RBAK,18.2073
248,GLI4,ZNF12,18.7948
249,MTF1,LTF,40.9859
250,MTF1,TF,42.2636
251,MTF1,SRPRB,15.1292
252,MTF1,IRF2BP1,14.726
253,MTF1,IRF2BP2,17.7172
254,MTF1,MYT1L,47.8078
255,MTF1,ST18,47.5645
256,MTF1,IRF2BPL,14.0704
257,MTF1,None,97.561
258,MTF1,ZNF575,23.6735
259,MTF1,ZNF276,11.5635
260,MTF1,HIC1,10.2241
261,MTF1,ZNF653,10.8943
262,MTF1,ZNF362,17.381
263,MTF1,ZNF410,15.272
264,MTF1,PATZ1,13.1004
265,MTF1,PRDM1,10.7879
266,MTF1,HIC2,11.2195
267,MTF1,ZNF76,19.1228
268,MTF1,ZFP91,11.0526
269,MTF1,PRDM6,11.5966
270,MTF1,ZNF296,12.8421
271,MTF1,ZBTB1,7.99439
272,MTF1,SNAI3,21.5753
273,MTF1,SNAI2,21.2687
274,MTF1,ZBTB20,9.17679
275,MTF1,ZNF281,12.514
276,MTF1,MAZ,15.7233
277,MTF1,ZBTB18,11.2994
278,MTF1,ZNF143,16.4577
279,MTF1,ZBTB16,12.63
280,MTF1,SNAI1,20.0758
281,MTF1,ZNF148,13.2242
282,MTF1,ZBTB32,10.883
283,MTF1,ZBTB45,11.3503
284,MTF1,ZBTB7C,11.6317
285,MTF1,ZBTB42,13.0332
286,MTF1,ZNF451,7.72856
287,MTF1,ZNF692,13.2948
288,MTF1,PRDM14,12.4343
289,MTF1,VEZF1,17.8503
290,MTF1,SCRT2,20.5212
291,MTF1,SCRT1,17.5287
292,MTF1,ZNF384,15.2961
293,MTF1,PRDM10,7.17993
294,MYBL1,DMTF1,12.2368
295,MYBL1,SNAPC4,8.37304
296,MYBL1,TTF1,7.73481
297,MYBL1,CDC5L,15.586
298,MYBL1,MYBL2,40.0
299,MYBL1,MYB,45.5979
300,MAP2K7,NEK1,6.84292
301,MAP2K7,MAP2K2,33.0
302,MAP2K7,MAP2K1,32.8244
303,MAP2K7,MAP3K2,16.1551
304,MAP2K7,MAP3K4,6.28109
305,MAP2K7,MAP2K4,43.3584
306,MAP2K7,MAP3K3,16.1342
307,MAP2K7,MAP2K5,27.6786
308,ZFX,ZFY,92.8839
309,ZFX,ZNF561,22.428
310,ZFX,ZNF562,20.892
311,ZFX,ZNF418,17.3077
312,ZFX,IKZF5,17.1838
313,ZFX,ZNF584,22.0903
314,ZFX,ZNF304,17.6024
315,ZFX,ZNF711,58.9839
316,ZFX,PRDM15,12.5329
317,ZFX,ZFAT,11.9067
318,ZFX,ZNF419,21.3725
319,ZFX,ZNF583,18.2777
320,ZFX,ZNF8,16.5217
321,ZFX,ZNF134,21.5457
322,ZFX,ZNF154,20.3661
323,ZFX,ZNF772,22.0982
324,ZFX,ZNF256,19.7767
325,ZFX,ZBTB11,12.0608
326,ZFX,ZNF549,19.2188
327,ZFX,ZNF587B,18.3254
328,ZFX,ZNF552,18.1818
329,ZFX,ZNF837,17.7024
330,ZFX,ZNF793,21.6749
331,ZFX,ZNF660,25.6798
332,ZFX,E4F1,13.5204
333,ZFX,ZNF773,24.8869
334,ZFX,ZNF79,20.6827
335,ZFX,ZSCAN20,12.464
336,ZFX,ZNF551,18.5075
337,ZFX,ZSCAN2,19.8697
338,ZFX,ZNF610,19.0476
339,ZFX,ZNF480,19.6262
340,ZFX,ZIK1,19.9179
341,ZFX,ZNF792,18.8291
342,ZFX,ZNF548,20.1835
343,ZFX,ZNF691,23.4921
344,ZFX,ZNF586,24.8756
345,ZFX,ZNF570,20.8955
346,ZFP57,ZBTB17,12.5778
347,ZFP57,ZNF527,16.7488
348,ZFP57,PRDM2,4.13271
349,ZFP57,ZNF467,16.6387
350,ZFP57,ZNF530,18.9046
351,ZFP57,ZNF784,15.7895
352,ZFP57,ZNF416,17.5084
353,ZFP57,ZNF746,10.7576
354,ZFP57,ZNF547,20.1493
355,ZFP57,ZKSCAN7,13.5279
356,ZFP57,ZNF407,3.64769
357,ZFP57,ZNF646,5.78603
358,ZFP57,ZNF852,19.2453
359,ZFP57,ZNF408,12.6389
360,ZFP57,ZNF774,19.4617
361,ZFP57,ZNF572,19.6597
362,ZFP57,ZNF426,15.704
363,ZFP57,ZNF398,14.0187
364,ZFP57,ZNF333,15.188
365,ZFP57,ZNF223,16.1826
366,ZFP57,ZNF222,16.0896
367,ZFP57,ZNF287,13.7976
368,ZFP57,ZNF625,19.3548
369,ZFP57,ZNF644,6.55614
370,ZFP57,ZNF233,13.5821
371,ZFP57,PRDM4,8.98876
372,ZFP57,ZNF697,19.8165
373,ZFP57,ZNF319,15.6357
374,ZFP57,ZNF34,18.7384
375,ZFP57,ZNF285,16.2712
376,ZFP57,WIZ,3.28216
377,ZFP57,ZNF507,6.40084
378,ZFP57,ZNF136,16.8519
379,ZFP57,ZNF592,5.52486
380,ZFP57,GZF1,13.5021
381,ZFP57,ZBTB41,10.6711
382,ZFP57,ZNF214,16.3366
383,ZFP57,ZNF777,10.9507
384,ZFP57,None,26.601
385,ZFP57,ZNF417,16.1739
386,ZFP57,ZNF587,16.0
387,ZFP57,ZNF776,17.5676
388,ZFP57,ZNF687,6.38642
389,ZFP57,MYNN,15.5738
390,ZFP57,ZNF627,19.0889
391,ZFP57,ZNF707,18.8679
392,ZFP57,ZNF17,15.6627
393,ZFP57,ZNF670,20.8226
394,ZFP57,ZNF230,16.0338
395,ZFP57,ZNF155,15.7993
396,ZFP57,ZNF768,15.3704
397,ZFP57,None,99.5261
398,ZFP57,None,100.0
399,ZFP57,None,100.0
400,ZFP57,None,100.0
401,ZFP57,None,100.0
402,ZFP57,None,100.0
403,ZFP57,None,100.0
404,IRF7,IRF4,23.7251
405,IRF7,IRF5,22.3735
406,IRF7,IRF3,27.1663
407,IRF7,IRF6,25.6959
408,IRF7,IRF9,22.1374
409,IRF7,IRF2,17.765
410,IRF7,IRF8,22.3005
411,IRF7,IRF1,16.9231
412,IRF7,None,96.8992
413,FGFR1,EPHA7,17.6353
414,FGFR1,NTRK1,19.0955
415,FGFR1,EPHB3,17.0341
416,FGFR1,ALK,10.4938
417,FGFR1,FGFR3,62.7792
418,FGFR1,EPHA2,17.3156
419,FGFR1,LMTK2,7.85096
420,FGFR1,EPHB1,17.7846
421,FGFR1,EPHA3,18.2096
422,FGFR1,INSR,13.1693
423,FGFR1,PDGFRA,18.8246
424,FGFR1,EGFR,14.2975
425,FGFR1,CSF1R,20.5761
426,FGFR1,ERBB3,11.4754
427,FGFR1,KIT,20.3893
428,FGFR1,NTRK3,17.9976
429,FGFR1,DDR1,18.0723
430,FGFR1,ERBB4,13.3028
431,FGFR1,EPHA8,17.3134
432,FGFR1,TEK,16.726
433,FGFR1,MUSK,16.8009
434,FGFR1,MERTK,16.1161
435,FGFR1,FGFR4,56.4838
436,FGFR1,FLT3,19.0332
437,FGFR1,EPHB6,15.362
438,FGFR1,FLT1,16.1435
439,FGFR1,DDR2,18.5965
440,FGFR1,EPHA6,14.9558
441,FGFR1,NTRK2,17.5418
442,FGFR1,IGF1R,13.2407
443,FGFR1,INSRR,12.7217
444,FGFR1,EPHB4,17.1226
445,FGFR1,PDGFRB,18.6257
446,FGFR1,ERBB2,13.6255
447,FGFR1,KDR,16.8142
448,FGFR1,EPHA5,17.0276
449,FGFR1,FGFR2,72.1072
450,FGFR1,TYRO3,17.3034
451,FGFR1,MST1R,11.2143
452,FGFR1,AXL,18.6801
453,FGFR1,EPHB2,17.9513
454,FGFR1,ROR1,15.048
455,FGFR1,ROR2,14.7402
456,FGFR1,ROS1,7.47544
457,FGFR1,EPHA10,14.881
458,FGFR1,EPHA4,18.5598
459,FGFR1,RET,16.9659
460,FGFR1,LTK,16.2037
461,FGFR1,FLT4,15.6273
462,FGFR1,TIE1,17.0475
463,FGFR1,RYK,24.0527
464,FGFR1,EPHA1,16.1885
465,FGFR1,MET,11.1511
466,FOXC2,FOXH1,19.4521
467,FOXC2,FOXL3,34.3348
468,FOXC2,FOXK2,15.0
469,FOXC2,FOXM1,11.5334
470,FOXC2,FOXQ1,19.1067
471,FOXC2,FOXP3,13.2251
472,FOXC2,FOXB2,21.9907
473,FOXC2,FOXR1,18.4932
474,FOXC2,FOXI2,26.4151
475,FOXC2,FOXD2,22.0202
476,FOXC2,FOXA2,23.9741
477,FOXC2,FOXJ2,14.9826
478,FOXC2,FOXD4L1,24.5098
479,FOXC2,FOXD4L3,24.2206
480,FOXC2,FOXD4L6,24.2206
481,FOXC2,FOXD4,23.6902
482,FOXC2,FOXD4L5,24.2788
483,FOXC2,FOXD4L4,24.0385
484,FOXC2,FOXS1,37.5758
485,FOXC2,FOXC1,48.6438
486,FOXC2,FOXL1,31.8841
487,FOXC2,FOXP1,9.45347
488,FOXC2,FOXF1,23.219
489,FOXC2,FOXB1,27.3846
490,FOXC2,FOXO4,14.8515
491,FOXC2,FOXK1,13.0969
492,FOXC2,FOXA1,21.822
493,FOXC2,FOXL2,26.3298
494,FOXC2,FOXE1,26.5416
495,FOXC2,FOXR2,13.8264
496,FOXC2,FOXE3,28.2132
497,FOXC2,FOXO3B,8.62069
498,FOXC2,FOXO3,13.373
499,FOXC2,FOXJ3,14.791
500,FOXC2,FOXD1,24.086
501,FOXC2,FOXD3,23.6402
502,FOXC2,FOXO1,12.2137
503,FOXC2,FOXI3,23.3333
504,FOXC2,FOXJ1,17.3397
505,FOXC2,FOXO6,14.0244
506,FOXC2,FOXA3,25.7143
507,FOXC2,FOXN1,10.8025
508,TGIF1,PKNOX2,11.8644
509,TGIF1,PBX4,11.7647
510,TGIF1,MEIS1,14.359
511,TGIF1,PBX3,11.0599
512,TGIF1,PBX1,10.4651
513,TGIF1,TGIF2LX,33.61
514,TGIF1,TGIF2LY,31.3514
515,TGIF1,PKNOX1,12.6147
516,TGIF1,MEIS2,14.2558
517,TGIF1,TGIF2,48.9451
518,TGIF1,PBX2,10.4651
519,TGIF1,MEIS3,16.0
